Código de Acesso,F0101,F0102,F0103,F0104,F0201,Cor0202,F0203,Cor0204,F0205,Cor0206,F0207,Cor0208,Cor0209Outro,L0210 (não likert),F0299 - Explicação Tempo,Q0401,Q0402,Q0403,T0404,Q0405,Q0406,Q0407,T0408,Q0409,Q0410,Q0411,T0412,Q0413,Q0414,Q0415,T0498,T0499 - Explicação Tempo,P01,T01,P02,T02,P03,T03,P05,T05,P09,T09,P12,T12,P15,T15,PTempoTotal,PTempoTotalExpl,QtdComida,QtdPessoas,QtdSom,GameTempoTotal,QtdDormir,QtdHorasDormi,QtdHorasSono,Acordar,F0705,F0706,F0707,F0708,F0709,F0710,F0711,F0712,F0713,F1101,F1102,F1103,F1104,F1105,Tempo1106,F1107,Tempo1108,F1109,Tempo1110,F1111,Tempo1112,TempoTotal11,T1199Expl,Q1201,Q1202,Q1203,T1204,T1205Expl,Q1206,Q1207,Q1208,Q1209,T1210Expl,P04,P08,P10,P12.1,P02.1,P03.1,P07,P09.1,P13,T04,T08,T10,T12.1,T02.1,T03.1,T07,T09.1,T13,TempoTotal,TempoTotalExpl,Data/Hora Último,Target1,Target2,Target3,Idade_Anos,Likert_Score_Medio,Likert_Score_Std,Likert_Score_Min,Likert_Score_Max,Likert_Missing_Count,Tempo_Total,Tempo_Medio,Tempo_Std,Tempo_Min,Tempo_Max,Tem_Timeout,Performance_Score_Total,Performance_Score_Medio,Respostas_P_Media,Respostas_P_Std,Respostas_P_Missing,Quantidade_Total,Quantidade_Media,Razao_Sono,Razao_Q0413_Q0414,Hora_do_Dia,Dia_da_Semana,Fim_de_Semana,Consistencia_F07,Consistencia_F11
ZK2HP2Q1FWUT,4.0,1.0,0.5882352941176471,6.0,8.0,FFFFFF,13.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,2.0,UNKNOWN,17.0,1.0,2.0,49.463,13.0,2.0,1.0,43.165,9.0,1.0,8.0,28.9,39.0,4.0,11.0,121.528,UNKNOWN,2.0,12.35,3.0,19.032,4.0,7.0,1.0,8.516,2.0,6.983,4.0,10.299,2.0,12.783,76.963,UNKNOWN,2.0,1.0,3.0,29.015,2.0,3.0,3.0,1,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,3.0,0.0,3.5,3.0,7.8,1.0,1.5,1.0,11.4,2.0,7.3,2.0,4.6,36.1,UNKNOWN,1.0,0.0,24.0,69.547,UNKNOWN,12.0,0.0,24.0,200.79,UNKNOWN,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.215,3.868,8.566,9.083,5.483,5.383,11.616,11.567,5.217,92.512,UNKNOWN,2025-12-09 11:21:18,61.538,71.429,91.429,71.23529411764706,2.3117647058823527,2.034662856882307,0.0,7.8,0,938.35,29.3234375,32.53538953492821,1.5,121.528,0,108.0,9.0,1.9375,1.3400870618483463,0,14.0,2.3333333333333335,0.9999996666667778,9.749997562500608,11.0,1.0,0,1.7638342073763937,2.4076885773941537
XU4DM426AR0G,4.0,0.0,0.47058823529411764,3.0,2.0,FFFFFF,2.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,3.0,0.0,16.0,12.033,3.0,0.0,11.0,8.0,1.0,2.0,16.0,6.649,7.0,2.0,43.0,26.682,UNKNOWN,4.0,20.916,4.0,13.45,4.0,1.932,3.0,53.281,4.0,14.799,4.0,11.017,1.0,24.516,139.911,UNKNOWN,2.0,1.0,1.0,25.699,2.0,3.0,1.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,3.682,4.0,5.0,4.0,3.114,3.0,5.394,4.0,1.632,3.0,1.499,20.321,UNKNOWN,1.0,0.0,24.0,49.115,UNKNOWN,4.0,0.0,24.0,118.511,UNKNOWN,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.867,10.666,13.5,5.217,6.25,7.399,9.549,4.416,8.833,97.061,UNKNOWN,2025-12-09 11:14:01,23.077,19.048,60.0,67.58823529411765,4.216588235294118,1.0983978706975637,1.0,5.0,0,707.8430000000001,22.120093750000002,29.699792418476676,1.499,139.911,0,104.0,8.666666666666666,4.0625,1.3400870618483463,0,10.0,1.6666666666666667,2.9999970000030003,3.499998250000875,11.0,1.0,0,1.3333333333333335,0.6418704252862434
CK67CCD9KKZJ,3.0,0.0,0.35294117647058826,0.0,0.0,FFFFFF,0.0,FFFFFF,0.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,3.0,0.0,16.0,16.399,0.0,0.0,14.0,2.533,0.0,0.0,17.0,3.199,3.0,0.0,47.0,22.131,UNKNOWN,2.0,2.583,3.0,2.617,4.0,8.3,1.0,9.149,4.0,9.2,3.0,13.366,4.0,6.083,51.298,UNKNOWN,2.0,1.0,1.0,32.75,1.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.4,4.0,1.8,4.0,2.3,3.0,1.0,4.0,3.0,4.0,4.5,18.0,UNKNOWN,1.0,0.0,24.0,64.364,UNKNOWN,3.0,0.0,24.0,124.244,UNKNOWN,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.501,7.066,5.299,7.6,4.616,9.15,5.633,5.55,5.999,86.896,UNKNOWN,2025-12-09 10:53:15,11.538,4.762,57.143,63.94117647058823,4.188235294117646,1.2297775982576973,1.0,5.4,0,488.525,15.26640625,20.729963991471415,1.0,86.896,0,100.0,8.333333333333334,3.875,1.4548768561863463,0,10.0,1.6666666666666667,1.499999250000375,3000000.0,10.0,1.0,0,1.3333333333333335,1.0278271116430875
LN0OHX118GS8,1.0,0.0,0.47058823529411764,2.0,3.0,FFC6A1,8.0,5B5B5B,2.0,FFFFFF,50505.0,242424,212121,0.0,UNKNOWN,6.0,15.0,13.0,25.483,5.0,14.0,9.0,20.899,5.0,11.0,12.0,25.632,16.0,40.0,34.0,72.014,UNKNOWN,3.0,7.984,1.0,8.849,2.0,6.817,4.0,23.915,1.0,16.583,4.0,11.134,4.0,5.065,80.347,UNKNOWN,2.0,1.0,2.0,22.044,1.0,1.0,2.0,3,4.0,4.0,4.0,3.0,5.0,4.0,1.0,2.0,3.0,1.0,3.6,1.0,2.4,1.0,17.4,3.0,5.0,2.0,6.3,3.0,6.9,41.6,UNKNOWN,1.0,0.0,24.0,70.964,UNKNOWN,2.0,0.0,24.0,119.628,UNKNOWN,5.0,5.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,5.832,8.015,6.449,9.716,8.216,8.933,24.683,6.366,9.7,112.462,UNKNOWN,2025-12-09 10:40:09,30.769,80.952,68.571,67.58823529411765,2.764705882352941,1.269321263742255,1.0,5.0,0,855.5939999999999,26.737312499999998,28.588338411404745,5.0,112.462,0,180.0,15.0,3.0,1.7888543819998317,0,9.0,1.5,0.499999750000125,0.39999999000000025,10.0,1.0,0,1.224744871391589,1.041633332799983
SL238SLJOF09,1.0,0.0,0.29411764705882354,2.0,3.0,FFFFFF,8.0,FFFFFF,2.0,0044FF,907300.0,000000,00FFF2,2.0,UNKNOWN,3.0,0.0,16.0,21.716,3.0,0.0,11.0,14.399,3.0,0.0,14.0,17.518,9.0,0.0,41.0,53.633,UNKNOWN,4.0,3.649,3.0,14.682,4.0,15.135,4.0,15.333,4.0,4.95,3.0,6.6,3.0,27.101,87.45,UNKNOWN,2.0,2.0,3.0,23.749,2.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.4,4.0,1.9,4.0,6.1,4.0,18.5,4.0,3.5,4.0,3.7,39.1,UNKNOWN,1.0,0.0,24.0,86.832,UNKNOWN,4.0,0.0,24.0,231.745,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.833,6.668,35.315,4.883,9.432,10.033,7.067,12.783,7.015,130.713,UNKNOWN,2025-12-09 10:39:13,0.0,0.0,85.714,62.11764705882353,4.252941176470588,1.1801046812988794,1.0,5.4,0,779.1029999999998,24.346968749999995,31.268366498989376,0.0,130.713,0,100.0,8.333333333333334,4.375,0.806225774829855,0,14.0,2.3333333333333335,1.499999250000375,9000000.0,10.0,1.0,0,1.3333333333333335,0.9493418773023764
WJ2MU06OBKPO,3.0,0.0,0.4117647058823529,2.0,2.0,B08A66,5.0,34141E,2.0,A00031,50505.0,8B1620,3E3B3B,0.0,UNKNOWN,4.0,3.0,15.0,49.281,2.0,1.0,12.0,15.116,0.0,0.0,17.0,4.233,6.0,4.0,44.0,68.63,UNKNOWN,2.0,8.183,1.0,31.081,4.0,30.032,1.0,24.282,1.0,10.266,2.0,21.333,3.0,30.782,155.959,UNKNOWN,2.0,1.0,2.0,28.232,1.0,3.0,2.0,3,3.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,21.542,4.0,8.016,2.0,4.148,0.0,17.775,2.0,9.064,3.0,9.163,69.708,UNKNOWN,1.0,0.0,24.0,97.013,UNKNOWN,4.0,0.0,24.0,264.004,UNKNOWN,5.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.866,8.266,10.233,7.967,6.717,10.849,14.515,21.732,17.699,131.31,UNKNOWN,2025-12-09 10:35:35,34.615,100.0,54.286,65.76470588235294,3.915176470588235,4.8780612469926785,0.0,21.542,0,1108.336,34.6355,38.41101267151926,4.148,155.959,0,108.0,9.0,2.6875,1.8154430129677255,0,11.0,1.8333333333333333,1.499999250000375,1.4999996250000938,10.0,1.0,0,1.0929064207170003,7.034919021769699
9IGDF7ZDLII5,1.0,1.0,0.47058823529411764,1.0,0.0,FFFFFF,10.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,2.0,UNKNOWN,7.0,1.0,12.0,41.149,0.0,6.0,14.0,55.63,2.0,0.0,15.0,13.749,9.0,7.0,41.0,110.528,UNKNOWN,2.0,4.133,1.0,10.15,1.0,36.907,2.0,17.882,1.0,21.382,1.0,6.133,2.0,6.017,102.604,UNKNOWN,1.0,1.0,0.0,17.715,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.7,1.0,3.9,1.0,0.6,1.0,0.5,1.0,0.4,1.0,0.8,8.9,UNKNOWN,2.0,0.0,24.0,124.894,UNKNOWN,2.0,0.0,24.0,177.508,UNKNOWN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.101,4.816,4.45,4.749,6.065,4.334,3.982,6.483,6.033,69.362,UNKNOWN,2025-12-09 10:30:05,92.308,90.476,0.0,67.58823529411765,1.3294117647058823,0.9505029628322791,0.0,3.9,0,877.232,27.4135,37.56668390149494,0.0,124.894,0,114.0,9.5,1.1875,0.4031128874149275,0,6.0,1.0,1.9999980000020001,1.2857141020408425,10.0,1.0,0,0.6666666666666667,1.2351980754981309
97TP7GJA3HGF,3.0,0.0,0.47058823529411764,2.0,5.0,FFFFFF,5.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,0.0,4.0,19.0,57.048,0.0,0.0,14.0,2.6,0.0,0.0,17.0,1.783,0.0,4.0,50.0,61.431,UNKNOWN,3.0,0.5,1.0,3.833,2.0,1.484,4.0,11.032,3.0,8.783,4.0,8.633,1.0,3.6,37.865,UNKNOWN,3.0,0.0,2.0,18.983,2.0,4.0,1.0,5,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,4.0,10.113,4.0,5.982,4.0,2.228,1.0,2.632,2.0,2.449,4.0,1.249,24.653,UNKNOWN,4.0,0.0,24.0,75.613,UNKNOWN,21.0,0.0,24.0,142.693,UNKNOWN,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,9.566,2.568,5.901,8.516,2.566,5.649,10.133,7.765,3.133,78.462,UNKNOWN,2025-12-09 10:25:36,34.615,76.19,68.571,67.58823529411765,4.240882352941177,2.2123330412246065,1.0,10.113,0,640.034,20.0010625,26.000664243298512,0.5,78.462,0,108.0,9.0,2.6875,1.7404501333467348,0,12.0,2.0,3.9999960000040002,0.0,10.0,1.0,0,1.7638342073763935,2.7542101505824546
EN3ALMKV2XAH,1.0,0.0,0.47058823529411764,0.0,0.0,FFFFFF,0.0,FFFFFF,0.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,0.0,0.0,19.0,5.817,0.0,0.0,14.0,3.25,0.0,0.0,17.0,2.333,0.0,0.0,50.0,11.4,UNKNOWN,4.0,3.434,2.0,8.033,4.0,6.566,1.0,164.321,4.0,7.25,2.0,4.016,3.0,4.817,198.437,UNKNOWN,2.0,2.0,3.0,26.981,2.0,3.0,1.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,1.6,4.0,1.9,3.0,1.6,4.0,2.6,4.0,1.6,12.3,UNKNOWN,3.0,0.0,24.0,177.47,UNKNOWN,9.0,0.0,24.0,297.723,UNKNOWN,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,9.083,2.841,2.232,2.482,1.484,2.948,3.633,6.333,3.283,60.938,UNKNOWN,2025-12-09 10:20:06,11.538,23.81,100.0,67.58823529411765,3.9176470588235293,1.3380187284365863,1.0,5.0,0,874.7300000000001,27.335312500000004,53.83345722625894,1.484,198.437,0,100.0,8.333333333333334,3.3125,1.7017148213885114,0,13.0,2.1666666666666665,2.9999970000030003,0.0,10.0,1.0,0,1.3333333333333335,0.9739463170891035
YZ9PZX2D9B6T,1.0,1.0,0.47058823529411764,2.0,0.0,F5D588,10.0,612119,1.0,FFFFFF,50505.0,383F76,FF5EBF,2.0,UNKNOWN,19.0,4.0,0.0,62.347,12.0,0.0,2.0,55.147,14.0,0.0,3.0,0.0,45.0,4.0,5.0,117.494,2.0,4.0,10.949,1.0,10.766,1.0,4.45,1.0,10.516,1.0,4.384,4.0,3.366,1.0,4.433,48.864,UNKNOWN,1.0,1.0,2.0,14.716,2.0,1.0,3.0,3,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,3.094,4.0,7.161,0.0,3.495,4.0,7.943,1.0,7.861,4.0,3.494,33.048,UNKNOWN,0.0,0.0,24.0,38.701,UNKNOWN,0.0,0.0,24.0,55.199,UNKNOWN,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,3.167,4.55,9.566,6.017,3.283,5.333,3.7,5.0,3.267,64.495,UNKNOWN,2025-11-09 12:15:50,65.385,80.952,48.571,67.58823529411765,3.956176470588235,1.798959916010294,0.0,7.161,0,745.26,23.289375,29.364568752978254,0.0,117.494,0,108.0,9.0,2.125,1.746424919657298,0,10.0,1.6666666666666667,0.33333322222225925,11.249997187500703,12.0,6.0,1,0.4409585518440984,2.308822485133308
2U313TK7XGFP,1.0,0.0,0.4117647058823529,3.0,5.0,FFE8A1,8.0,FFFFFF,1.0,FFFFFF,50505.0,2010D1,FFFFFF,5.0,UNKNOWN,3.0,0.0,16.0,15.649,3.0,0.0,11.0,6.9,3.0,0.0,14.0,10.183,9.0,0.0,41.0,32.732,UNKNOWN,4.0,24.783,4.0,15.133,4.0,7.116,4.0,5.868,3.0,30.298,3.0,12.315,2.0,12.2,107.713,UNKNOWN,2.0,1.0,3.0,57.281,2.0,1.0,2.0,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,8.751,4.0,2.747,2.0,3.5,4.0,12.933,4.0,7.683,2.0,17.197,52.811,UNKNOWN,0.0,0.0,24.0,120.36,UNKNOWN,6.0,0.0,24.0,235.139,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,30.582,4.448,6.816,14.985,7.951,7.4,12.682,6.034,5.65,122.395,UNKNOWN,2025-11-09 12:15:02,42.308,52.381,51.429,65.76470588235294,4.1469411764705875,1.745976641832166,1.0,8.751,0,917.716,28.678625,32.98137812781142,3.5,122.395,0,100.0,8.333333333333334,4.0625,1.2365947867699696,0,11.0,1.8333333333333333,0.499999750000125,9000000.0,12.0,6.0,1,1.3333333333333335,2.16663034951248
ICWB0ZQ1I0GA,1.0,0.0,0.35294117647058826,2.0,2.0,FFFFFF,8.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,3.0,0.0,16.0,21.999,2.0,1.0,12.0,40.009,3.0,0.0,14.0,14.404,8.0,1.0,42.0,76.412,UNKNOWN,4.0,22.411,4.0,22.461,4.0,25.241,3.0,10.957,3.0,29.279,3.0,20.541,4.0,35.03,165.92,UNKNOWN,2.0,2.0,3.0,55.028,1.0,3.0,2.0,5,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,16.292,4.0,8.387,4.0,11.793,4.0,7.149,4.0,8.999,4.0,21.791,74.411,UNKNOWN,0.0,0.0,24.0,71.681,UNKNOWN,3.0,0.0,24.0,188.324,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.123,9.31,10.375,9.143,6.795,11.324,8.162,9.791,8.877,110.44,UNKNOWN,2025-11-09 12:10:45,19.231,47.619,88.571,63.94117647058823,5.098764705882353,3.2192313432209985,1.0,16.292,0,1087.277,33.97740625,36.34813063468448,6.795,165.92,0,102.0,8.5,4.375,0.806225774829855,0,13.0,2.1666666666666665,1.499999250000375,7.9999920000080005,12.0,6.0,1,1.3944333775567928,4.400736997935687
RYB1ZLYWE1M9,1.0,1.0,0.35294117647058826,1.0,3.0,FFFFFF,10.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,2.0,1.0,17.0,21.006,3.0,0.0,11.0,15.32,0.0,3.0,17.0,24.125,5.0,4.0,45.0,60.451,UNKNOWN,3.0,6.308,4.0,22.982,4.0,7.115,4.0,18.53,4.0,8.462,4.0,9.256,3.0,10.565,83.218,UNKNOWN,2.0,1.0,1.0,37.228,1.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,4.568,4.0,4.8,2.0,2.0,4.0,1.6,2.0,3.9,3.0,3.516,20.384,UNKNOWN,0.0,0.0,24.0,107.309,UNKNOWN,2.0,0.0,24.0,146.286,UNKNOWN,1.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,8.082,4.88,9.385,10.331,6.977,3.947,6.807,9.592,7.293,99.727,UNKNOWN,2025-11-09 11:59:25,23.077,38.095,80.0,63.94117647058823,3.9628235294117644,1.390573813003741,1.0,5.0,0,771.4680000000001,24.108375000000002,29.34186655974151,1.6,107.309,0,108.0,9.0,3.9375,1.3400870618483463,0,10.0,1.6666666666666667,1.499999250000375,1.249999687500078,11.0,6.0,1,1.3333333333333335,1.1950909110667212
CBW1MWFYTJ4S,3.0,1.0,0.29411764705882354,1.0,3.0,FFFFFF,2.0,FFFFFF,1.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,3.0,0.0,16.0,39.015,1.0,2.0,13.0,19.199,2.0,2.0,15.0,22.899,6.0,4.0,44.0,81.113,UNKNOWN,3.0,11.05,2.0,10.932,1.0,4.75,1.0,29.216,2.0,11.049,3.0,9.049,1.0,11.666,87.712,UNKNOWN,3.0,2.0,3.0,28.215,2.0,4.0,1.0,3,5.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,0.0,2.3,4.0,2.4,2.0,2.8,3.0,3.3,3.0,2.5,3.0,2.4,15.7,UNKNOWN,2.0,0.0,24.0,81.429,UNKNOWN,17.0,0.0,1.0,300.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.233,6.382,8.116,9.999,14.829,14.199,12.932,17.065,13.349,144.026,UNKNOWN,2025-11-09 11:51:55,84.615,85.714,28.571,62.11764705882353,3.0999999999999996,1.3619838471876238,0.0,5.0,0,932.024,29.12575,34.25112031414729,2.4,144.026,0,108.0,9.0,1.375,0.7187952884282609,0,15.0,2.5,3.9999960000040002,1.4999996250000938,11.0,6.0,1,1.3228756555322954,1.1673382420826326
U0JD20CW4JWD,3.0,0.0,0.35294117647058826,1.0,0.0,F6B39C,2.0,FFFFFF,2.0,FFFFFF,50505.0,FFFFFF,FFFFFF,0.0,UNKNOWN,2.0,3.0,17.0,23.5,2.0,13.0,12.0,31.597,13.0,26.0,4.0,44.415,17.0,42.0,33.0,99.512,UNKNOWN,3.0,5.25,2.0,20.583,4.0,5.933,3.0,5.833,4.0,3.716,4.0,2.233,3.0,2.5,46.048,UNKNOWN,2.0,0.0,0.0,20.966,1.0,2.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.964,3.0,4.146,2.0,2.014,3.0,3.912,2.0,1.4,2.0,1.413,18.849,UNKNOWN,2.0,0.0,24.0,95.03,UNKNOWN,4.0,0.0,24.0,124.561,UNKNOWN,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.267,1.067,1.301,2.883,1.234,1.233,1.266,3.167,1.25,33.799,UNKNOWN,2025-11-09 11:51:53,7.692,33.333,71.429,63.94117647058823,3.8888235294117646,1.493077536302708,1.0,5.964,0,595.625,18.61328125,26.81953847746365,1.067,99.512,0,184.0,15.333333333333334,2.75,1.61245154965971,0,7.0,1.1666666666666667,0.99999950000025,0.40476189512471683,11.0,6.0,1,1.3333333333333335,1.3598634122587459
0CIP1GPIT9GT,3.0,1.0,0.35294117647058826,2.0,2.0,FFFFFF,10.0,FFFFFF,1.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,14.0,0.0,5.0,34.649,12.0,0.0,2.0,26.816,14.0,0.0,3.0,27.965,40.0,0.0,10.0,89.43,UNKNOWN,4.0,9.083,3.0,9.7,4.0,3.582,4.0,25.499,4.0,35.565,4.0,5.417,4.0,68.346,157.192,UNKNOWN,2.0,1.0,1.0,21.799,2.0,3.0,2.0,1,4.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.65,3.0,3.231,3.0,5.018,3.0,3.05,3.0,3.496,2.0,6.249,24.694,UNKNOWN,1.0,0.0,24.0,66.263,UNKNOWN,1.0,0.0,24.0,106.745,UNKNOWN,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,4.4,5.199,10.716,8.0,9.45,19.615,8.75,12.516,11.767,112.595,UNKNOWN,2025-11-09 11:49:39,7.692,28.571,85.714,63.94117647058823,2.6400588235294116,0.9770293285380584,1.0,4.0,0,948.798,29.6499375,36.6387864682625,3.05,157.192,0,100.0,8.333333333333334,3.75,1.4832396974191326,0,11.0,1.8333333333333333,1.499999250000375,40000000.0,11.0,6.0,1,1.130388330520878,0.8379047742519944
21NYHLZGMY65,3.0,1.0,0.29411764705882354,1.0,3.0,FFDD9A,3.0,7F6021,2.0,319EB9,50505.0,B1EAF8,D820F6,5.0,UNKNOWN,19.0,34.0,0.0,99.845,10.0,27.0,4.0,0.0,0.0,0.0,17.0,0.0,29.0,61.0,21.0,99.845,0.0,4.0,7.633,4.0,9.866,4.0,14.999,3.0,6.551,4.0,12.832,4.0,11.116,4.0,4.733,67.73,UNKNOWN,1.0,1.0,1.0,20.967,2.0,3.0,2.0,4,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,2.0,2.0,5.1,4.0,3.3,3.0,2.639,3.0,3.8,3.0,9.1,3.0,3.2,27.139,UNKNOWN,0.0,0.0,24.0,89.463,UNKNOWN,0.0,0.0,24.0,171.091,UNKNOWN,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,6.067,4.25,10.032,4.433,5.75,6.033,5.733,5.233,5.483,77.446,UNKNOWN,2025-11-09 11:45:24,11.538,4.762,88.571,62.11764705882353,3.7294117647058824,1.044488335192376,2.0,5.1,0,726.789,22.71215625,32.319092998800585,0.0,99.845,0,222.0,18.5,4.25,1.0645812948447542,0,10.0,1.6666666666666667,1.499999250000375,0.47540982827197004,11.0,6.0,1,1.0540925533894598,0.9086882225022428
818GQ1A0LZXY,1.0,0.0,0.47058823529411764,0.0,5.0,FFFFFF,8.0,0F0D0D,1.0,FFFFFF,50505.0,FFFFFF,FFFFFF,5.0,UNKNOWN,0.0,0.0,19.0,10.283,0.0,0.0,14.0,5.433,0.0,0.0,17.0,1.7,0.0,0.0,50.0,17.416,UNKNOWN,1.0,1.533,3.0,10.233,3.0,13.033,1.0,19.227,2.0,1.182,4.0,15.967,1.0,5.833,67.008,UNKNOWN,3.0,2.0,3.0,11.716,2.0,3.0,2.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,8.3,4.0,3.8,4.0,1.0,3.0,1.8,3.0,1.5,3.0,7.4,23.8,UNKNOWN,0.0,0.0,24.0,59.214,UNKNOWN,4.0,0.0,24.0,109.245,UNKNOWN,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,4.482,3.917,3.35,3.349,3.067,4.566,4.432,3.017,4.765,59.147,UNKNOWN,2025-11-09 11:42:48,19.231,57.143,85.714,67.58823529411765,4.358823529411764,1.5070910819893284,1.0,8.3,0,531.458,16.6080625,22.67103757025904,1.0,85.714,0,100.0,8.333333333333334,3.25,1.8073922282301278,0,15.0,2.5,1.499999250000375,0.0,11.0,6.0,1,1.3333333333333335,1.7476003956445947
6K8O0GZD1VNS,3.0,1.0,0.29411764705882354,3.0,4.0,EEDF7E,10.0,F5DC47,2.0,34311E,776700.0,36CEB5,3648CE,5.0,UNKNOWN,8.0,0.0,11.0,31.565,2.0,5.0,12.0,20.499,5.0,0.0,12.0,23.049,15.0,5.0,35.0,75.113,UNKNOWN,4.0,12.733,3.0,16.682,3.0,18.416,4.0,17.349,4.0,4.5,4.0,6.45,4.0,5.999,82.129,UNKNOWN,1.0,1.0,1.0,21.049,1.0,3.0,2.0,5,5.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,3.0,4.1,4.0,1.0,3.0,1.6,4.0,0.8,4.0,3.8,4.0,2.3,13.6,UNKNOWN,0.0,0.0,24.0,69.447,UNKNOWN,2.0,0.0,24.0,140.91,UNKNOWN,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.733,3.916,8.583,6.066,3.899,5.365,5.949,5.983,5.983,70.562,UNKNOWN,2025-11-09 11:36:58,11.538,23.81,68.571,62.11764705882353,3.5941176470588236,1.3278133284818756,1.0,5.0,0,581.591,18.761,23.039668749065523,0.8,82.129,0,110.0,9.166666666666666,4.4375,0.7274384280931732,0,9.0,1.5,1.499999250000375,2.99999940000012,11.0,6.0,1,1.5634719199411433,1.0696294418428949
